genename	coding_BF
CHD8	7317632288.7186
SCN2A	17086885921.6339
ARID1B	2832734.42993522
NRXN1	18.848012358
SYNGAP1	4940271.88482436
DYRK1A	2537352.01494809
CHD2	8698.8616165949
ANK2	151878.562062526
KDM5B	303954.154212024
ADNP	90860.4873242612
POGZ	11714.5720959029
SUV420H1	100375.302828944
SHANK2	5.0896093676
TBR1	28167.423028433
GRIN2B	8187.976967866
DSCAM	25954.2828314577
MLL3	214.6260219985
PTEN	2435.6597941862
SHANK3	6.4114154594
TCF7L2	242.8269379847
TRIP12	91.1884394548
SETD5	28.3688222973
TNRC6B	110.2496530618
ASH1L	1085.7435800841
CUL3	226.6669287434
KATNAL2	276.719371746
WAC	253.943022038
NCKAP1	185.5009088584
RANBP17	191.1242099822
KDM6B	316.7012439673
ILF2	311.2248492947
DNMT3A	986.2210792997
GIGYF1	136.5267443325
WDFY3	115.4410583416
SPAST	257.5941296653
KAT2B	10.8495597562
MYT1L	139.2408807766
SLC6A1	80.4953043516
PHF2	149.9146747518
ZNF559	4.4619698317
BCL11A	143.8910896966
MFRP	53.7631033636
FOXP1	224.8433807942
GABRB3	57.4645044516
MIB1	0.4637936852
P2RX5	12.3090052415
TRIO	103.7477202412
MLL5	112.3773905729
ETFB	14.2952007132
NINL	4.9782778451
CTTNBP2	5.9930871145
INTS6	46.594993049
USP45	52.2396632775
CAPN12	11.9965905401
OR52M1	15.3696237909
DIP2A	87.8401998709
AKAP9	34.9535330802
NAA15	49.5479286243
APH1A	71.5993638329
IRF2BPL	32.1448291998
ACHE	68.7539981346
NLGN3	1.9033274447
MBD5	6.9924821801
PTK7	142.5155286449
ERBB2IP	35.6926078067
TBL1XR1	66.4607795841
ASXL3	86.3695432631
CCIN	50.9868983056
TMEM39B	60.488016495
TSPAN4	66.6105161374
PSMD12	13.8163590575
MLXIP	0.4586019863
RAPGEF4	37.6631350001
CACNA2D3	171.6981334452
IL17RA	8.7601988808
SCN1A	26.1496647873
MYH10	64.1459083431
VIL1	10.7192921373
PRKAR1B	55.7041215198
NR3C2	39.6653847334
PLCD4	45.6865371713
ZC3H11A	48.5773713378
ARHGAP5	31.004242502
MLANA	18.1840921175
SPARCL1	12.8076386417
FBXO11	49.1140158812
TLK2	49.1140158812
CTCF	45.5867811244
WNT7B	11.6919577573
ABL1	1.2965470388
FCRL6	14.4975687575
SPAG9	29.9704552238
IL1RL1	3.5964506759
ZNF774	3.0713886277
S100G	19.1452424559
CHD1	27.3715453376
RIMS1	110.2496530618
KLHL14	11.6900693437
MYO9B	43.0395995187
COBL	6.6664018484
MTMR12	11.1520160039
CARKD	13.1434531913
RNF146	15.0930564532
CDH13	2.2677263311
MLL	25.236068859
UTP6	12.8586920264
TNPO3	10.8452571145
SUCLG2	14.6145990639
RALGAPA1	1.0986661531
FAM168B	16.7826225883
PPM1D	12.5058901521
STAU2	3.2507539806
ATP1A1	35.6926078067
RAB2A	17.1173018087
NUAK1	45.387971976
ATP1B1	15.4318257275
NUDT17	15.3696237909
PCDHA13	22.5430500949
DPP3	38.5669866469
GRIA1	11.1802712817
MYOC	13.1696771439
SMURF1	9.6315208675
TMEM114	0.9040316299
PCOLCE	12.8331378464
MEMO1	16.0040747483
PHF15	8.8964267299
SDCCAG3	12.4810941345
SLCO1B1	2.8527963648
ROBO4	1.7654052802
CSNK1E	14.7481800214
KLHDC10	14.2094099128
BAZ2B	19.8788300589
HNRNPD	0.8179971759
CYP27C1	13.7887380452
DOCK5	18.131119401
IL18R1	0.6859257505
KRT34	15.9632894985
SCARA3	11.6000368352
PRPF39	13.3548388022
ZNF490	13.3282154215
STAM	13.381519778
SYNCRIP	0.6701445805
SIX2	12.8843013098
RELN	23.0665162819
MTUS1	34.2692865942
RFX7	30.2894715373
TCTE3	17.019957038
CDC42BPB	15.6061664603
GIGYF2	33.1180508406
CDC23	12.0437479268
GGNBP2	11.9724836635
LEO1	11.8547222289
CCT6B	3.0780858817
GSDMC	13.8717810039
FAM55D	13.8163590575
OR2T10	15.9071250197
PLA1A	13.6515270051
KLC1	11.925227823
NXPH1	0.8131742595
WHSC1	11.925227823
MUC21	13.0911747488
GIMAP8	50.9868983056
CERS4	0.6806209335
CSDE1	10.8282980473
CASC4	0.6885949973
FBXO18	30.0976257961
QRICH1	10.7859097833
DDX53	0.6263271574
SLCO1B3	12.6557907765
SPP2	16.6263930399
CSTF2T	12.0437479268
PRMT8	0.6845953463
LRRC14	13.8609011776
PSD3	8.8450746174
C16orf13	18.2587271038
JUP	8.429401038
MSI2	0.7864219294
KDM4B	22.9676014225
CPZ	12.4285739562
TCF3	9.556990606
SRPK2	11.3736389677
TAF4	9.6502515293
KIAA0100	3.6806280709
CA3	20.3012813581
RGS2	17.131257381
WNT9A	12.7568046488
HAPLN3	12.4810941345
RUNDC1	12.4810941345
NIF3L1	0.7591352184
TGM1	36.0776517059
PPM1B	0.7517395176
BRSK2	9.0001010972
BRMS1L	0.7848783459
ZC3H4	19.635682567
KDM3A	7.5873992356
MMP16	0.62032594
TANC2	16.4141112291
PTMS	18.7174088157
RAI1	10.932164952
VTI1A	0.8083822493
KYNU	0.7229304813
AGAP2	8.3490592365
ERI1	3.676742719
TUSC1	18.1431838568
C11orf30	7.5873992356
DVL3	8.3008867879
PM20D1	2.9343233393
ARHGAP30	8.2849720954
PLCB1	0.4130781863
RIPPLY1	17.9805453579
PHF7	15.2153039546
AXL	8.2058920807
NRG4	18.2139063619
IFNA10	17.739542599
BRWD1	4.3870926053
C21orf2	14.9718721358
TMBIM6	0.7941895209
MYO1E	32.9068649914
BTRC	12.7314696063
IFI44L	14.7920673422
CCDC87	9.3371188069
ZFAND5	17.3562313493
RPL12	17.2714931601
DSG3	9.2650493156
KCNQ2	7.9430675285
PLEKHA8	17.7968269895
DBX2	17.0164915514
DPP6	2.0616347418
IFI30	16.680554292
GOLGA4	1.0682664364
KRT24	0.6447125494
TM4SF19	16.6873378782
PLA2G7	3.4339401628
CMPK2	16.6771636194
MCAM	2.3164825207
UBN2	7.89763903
BST2	16.6095067471
RASAL1	9.05242774
PPPDE1	16.9507923628
STXBP5	8.4781473086
STMN4	16.2327893521
OR51A2	16.2987849913
IL27	15.9071250197
C20orf111	15.9071250197
OR4C11	16.1670831229
SPON2	16.4314783036
HDLBP	6.4160733761
LTN1	6.2803400553
VPS54	2.36133214
CD163L1	25.9728585118
USP15	10.8922188446
OR1D2	3.676742719
LRRFIP1	10.4736637586
ABI2	16.6710913938
GSTO2	0.830518969
MSH4	10.5973723496
VSIG4	15.4006907419
TMEM242	0.8696966358
MTHFS	17.5413803075
SPDYC	15.2768295435
MFSD3	15.2768295435
PRSS1	0.8099761653
SCAMP2	15.3076933515
PRB4	21.8167259744
ATIC	14.7481800214
FAM45A	3.549186932
CCDC66	11.8079692568
C16orf46	0.747339723
FAM59A	9.0874949522
ETV2	14.6440162476
POTEH	15.0626610917
OVOL1	14.3815527674
C9orf68	0.7696224177
NFKBIL1	14.5852458731
ECE1	9.6690216078
PCM1	1.1980198045
DHX29	8.0040789761
PDCD1	14.2952007132
PRSS38	14.1525259094
ECM2	12.1876579233
TOR1AIP2	14.4684700398
ANKRD11	21.0996517809
SLC25A39	13.9553658382
NR2F1	14.2290786523
ELAVL2	15.1235182633
RNF38	14.3527061437
PAQR3	0.7606238302
TBC1D23	12.2118233867
CACNA1B	0.6020085481
STARD10	13.8440399969
KBTBD4	15.5840867342
TROVE2	13.7062331736
IQGAP2	6.4841549781
PLEKHO1	13.5699106035
SMARCE1	13.899582219
GOPC	13.8440399969
KIRREL3	9.8803690237
UPF3B	13.899582219
LAMB1	24.7456776106
HOXD1	13.6515270051
GLTSCR2	13.4619096211
FOXG1	13.631947917
LDB1	13.5970572076
LRRTM2	13.3548388022
RGMA	13.4709004743
ST3GAL6	15.6516891589
KRT16	2.6969911715
ADSS	13.8163590575
SRGAP3	6.9429304095
FAM8A1	13.1959577596
FER1L5	10.1711764105
ZWILCH	13.4082584831
PRDM9	2.2773881629
CYP4F12	2.6566324511
IL3	17.0234232893
FBXL13	0.6050132033
MLH1	13.3752546918
OLFM3	14.3815527674
MPP6	13.7611768202
EP400	3.4101524495
CNTNAP4	0.4002478495
VNN1	0.6832677463
ZFYVE26	51.2348482867
GIMAP2	0.8067917436
C11orf24	12.9872920455
PLA2G16	16.9266567242
INSC	11.2844229255
B4GALNT1	10.9136164314
BIRC3	12.9614610636
OR10Z1	16.1343381088
ATP10D	7.2351434368
PFKFB2	12.6056088787
NLRX1	7.7071594521
RAD21L1	12.9614610636
ZNF451	4.4240780885
SNW1	12.9614610636
LYPD4	16.2657509096
SRSF11	12.8331378464
VAT1L	0.7546883553
ANKFN1	11.1959638472
SLC25A6	12.5058901521
PLVAP	12.3334313084
SLC38A3	12.3090052415
AFP	3.0249465526
SERPINB9	0.7117448612
MRPL50	4.1120309796
DPYSL2	12.9691450526
MSL2	12.6306728457
SLC3A1	0.5679558872
NMT1	12.5058901521
EP300	12.8023868851
NFIB	14.3527061437
FERMT1	13.7295689785
ASB4	13.7611768202
MBNL1	17.8400607221
CCPG1	12.1154716146
PINK1	11.7846676514
FAM169A	12.7568046488
ZNF853	12.0437479268
PAX5	12.8843013098
CACNA1D	14.2453465184
CDC73	13.0651199964
THAP5	17.3314696039
FAM200B	11.9488304545
KDM1B	12.1876579233
C12orf24	0.8099761653
PBX1	13.9553658382
GOLGA5	11.8313207442
C11orf85	3.9434701699
FBXW11	12.6809627963
PPP2R5D	11.6689038445
CYP2J2	0.667552965
COMMD3	0.8991908316
LRRC43	11.2064983498
SH2B1	9.9747771829
CAPN8	12.5058901521
NTNG1	14.4688385002
AHDC1	3.3058445623
ANKK1	2.4019865389
SUFU	12.2118233867
KIAA1432	1.7076051736
BIRC6	15.516281101
ZC3H14	11.4636189641
C10orf140	11.4636189641
NACC1	11.418533032
FLYWCH1	0.5077000008
BNIP1	15.9393707146
TTK	11.4410519594
TSPAN17	14.4104621929
SLC6A8	11.2180080311
RPS6KA3	12.0915124746
AMBP	14.0394963654
C3orf35	0.9492760908
PYHIN1	62.5519469934
ZMYND11	11.9724836635
DDX3X	11.1520160039
TMEM171	0.747339723
YTHDC1	11.3066556988
SCN7A	8.3328154526
ASAH2	11.4410519594
FAM91A1	10.956548211
DUS1L	2.5558186919
SMAP2	14.3239221746
PNPLA7	17.514503348
SIRPB2	15.4318257275
HIST1H4C	0.8519667136
TNFRSF8	10.8708666541
ADCY5	5.1908019843
CTNNB1	10.956548211
AGGF1	2.5448749186
KIAA1731	11.146796357
ZNF681	3.0580413222
POLD1	1.2399367381
TTC18	0.5077000008
LRRC4	10.4327755607
ZDHHC14	0.5789179708
PHF21A	11.6919577573
NFIA	13.381519778
ORC4	0.7517395176
EIF2AK2	13.5428226794
FAM40A	10.3313088216
APBB1	10.2309091047
NPBWR1	11.3512636107
PTPRR	12.0437479268
OR13C8	0.7926293539
SNX14	0.5446247567
CDAN1	7.3879078719
TERF2	13.1696771439
DNAH10	0.1139337003
UBE2W	0.9249696942
VCP	10.0332625328
HAX1	0.7864219294
CUL1	10.5147254262
MGRN1	10.092119111
CHMP1A	20.6527399095
C21orf62	0.8402546362
CC2D1A	7.3180415103
ASB17	16.4283141228
MPHOSPH8	10.1118209043
UNC45B	9.8346111121
TMC2	0.5038739912
ARHGAP44	10.6181437441
GABRB1	12.7568046488
EFR3A	12.9691450526
ZNF568	2.9599124633
SCAND3	0.4368225757
MORC3	9.8206120145
ZBTB49	2.2725517005
KCNS3	12.7314696063
RCBTB1	12.6809627963
PRPF40A	11.0864439417
MAK	12.5307395114
TYW5	16.0690634289
ABR	9.8118175904
ARMC1	0.7973198823
BTBD6	12.1876579233
LCE1B	4.2644919675
CRTC3	2.7086435611
CNGB3	11.1739665406
CBX4	9.3733807858
SKI	9.519959666
CCDC77	0.7007471222
IL2RA	0.7864219294
SLC35C2	17.2449272834
DLL1	9.3371188069
LARP4B	9.7634663884
MAP3K14	9.5015024351
GRIA2	10.0332625328
FAM161B	2.6169255298
IL7R	0.7257566489
DGKD	6.072058733
ABTB1	2.9987494462
LCN12	0.8308469755
SORCS3	8.3008867879
C9orf93	7.401967501
BCCIP	3.5806209167
PCSK2	10.2109561376
CTNNA3	10.092119111
ADD3	2.7144901464
C7orf70	0.8179971759
KIAA1407	0.5303210117
SCN11A	5.5976850755
NEDD9	9.3733807858
REPIN1	9.6878311924
PRKCA	12.399261036
BTBD9	12.1635442198
MYO7B	14.3112128814
ESCO2	0.679301708
RBM17	0.7131327183
ENGASE	0.4770542735
SF3B1	8.4842019577
RABEP1	2.4122678634
LMTK3	8.4944637504
NDST4	11.1520160039
CECR2	5.698720835
XKR6	9.7824748528
HIST1H2AE	3.7506643308
JAKMIP1	8.5600699711
TCF4	11.2622374621
SPRED2	11.3736389677
DHX57	7.1532597311
RAPGEF3	9.1580710342
IFT88	11.5316095506
FAM81B	3.3227285241
BHLHE22	0.7075988765
EXOSC7	0.7651087406
ZRANB3	2.146072169
CNOT3	9.0699430128
C20orf194	8.6262245961
DEFA6	0.9308893361
C4orf27	3.6930325375
FBLIM1	3.1050331723
ITGA5	7.8524913696
CD151	3.5727343012
FPGS	11.5088976486
ZNF33A	2.6969911715
TUBA1A	3.0713886277
PRPS1L1	3.5570173569
NFATC2IP	3.5885263588
SECTM1	3.5335819371
MICAL2	7.6025450635
RRBP1	1.604661625
ANO9	8.5436171951
HGF	11.5543699744
PROKR2	2.9792625586
DGAT1	15.5094149617
PRAME	2.9922385537
PRR25	0.7048494751
LRFN2	8.316834549
MOV10	7.6746719159
URB1	3.5635939661
SPO11	0.7576497734
GMPPB	2.9216185243
VCPIP1	7.6746719159
SRCAP	4.826650063
KLB	7.3319574235
NME9	16.2327893521
CD1A	3.4490698725
UTP23	0.8235007829
RUNDC3B	14.1809370216
LGALS3BP	2.4591257994
GFPT2	0.4953794657
ACACB	6.3433757133
GRAMD2	15.6833742463
SYT1	3.2507539806
CPD	7.5441658319
RBM27	2.0835015273
PTPRM	5.8268437784
DYSF	10.7830864463
GNPTG	3.3667388153
MTFR1	0.7957530278
NUDT6	14.4975687575
ACOX2	10.5353215591
TLE3	1.9641910245
LTK	10.3507389932
CHGA	3.2013753542
C10orf90	10.6389592047
MMP8	3.2650129258
DRAM2	0.830518969
SNTG1	16.6308963411
UPF3A	3.2578750203
GAPVD1	7.3643292306
MGAT4B	11.5807032033
SCP2	13.5699106035
ZFP2	14.7030431961
TTC39A	2.7558000669
TEX2	1.7290371768
ASZ1	3.2224376229
SLCO6A1	0.5867281195
LCN10	3.6686269595
MRRF	3.7907449959
ASB14	3.709400423
NOP14	1.875624149
GABRR2	0.6372889501
SMARCC2	6.7585957368
EFCAB5	7.7040035381
PLXNB1	10.511987949
C3orf15	0.5456623706
UBAP2	1.7838983105
NOL6	6.6073774435
CA14	0.7833380561
CYP7B1	0.7328747537
CSF2RB	1.8834946748
ANO5	10.6181437441
ADCY9	4.3791032848
APCDD1L	2.5889562266
DOT1L	3.1119233903
TKTL2	2.5503404629
ARID5B	7.3180415103
SLC10A1	0.7651087406
RALGAPB	6.8874699335
KPNA1	3.1322356384
ZNF528	0.6585677388
AKR1D1	3.5727343012
PDILT	0.6120289625
